ORDER,FAMILY,SCIENTIFIC NAME,COMMON NAME,FRENCH NAME,,,,,,,,,,,,,,,,,,,,,,
ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser fulvescens,lake sturgeon,esturgeon jaune,,,,,,,,,,,,,,,,,,,,,,
ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser transmontanus,white sturgeon,esturgeon blanc,,,,,,,,,,,,,,,,,,,,,,
ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser brevirostrum,shortnose sturgeon,esturgeon à museau court,,,,,,,,,,,,,,,,,,,,,,
ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser medirostris,green sturgeon,esturgeon vert,,,,,,,,,,,,,,,,,,,,,,
ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser oxyrhynchus,Atlantic sturgeon,esturgeon noir,,,,,,,,,,,,,,,,,,,,,,
ACIPENSERIFORMES,POLYODONTIDAE,Polyodon spathula,paddlefish,spatulaire,,,,,,,,,,,,,,,,,,,,,,
AMIIFORMES,AMIIDAE,Amia calva,bowfin,poisson-castor,,,,,,,,,,,,,,,,,,,,,,
ANGUILLIFORMES,ANGUILLIDAE,Anguilla rostrata,American eel,anguille d'Amérique,,,,,,,,,,,,,,,,,,,,,,
ANTHERINIFORMES,ATHERINIDAE,Labidesthes sicculus,brook silverside,crayon d'argent,,,,,,,,,,,,,,,,,,,,,,
CLUPEIFORMES,CLUPEIDAE,Dorosoma cepedianum,gizzard shad,alose à gésier,,,,,,,,,,,,,,,,,,,,,,
CLUPEIFORMES,CLUPEIDAE,Alosa aestivalis,blueback herring,alose d'été,,,,,,,,,,,,,,,,,,,,,,
CLUPEIFORMES,CLUPEIDAE,Alosa pseudoharengus,alewife,gaspareau,,,,,,,,,,,,,,,,,,,,,,
CLUPEIFORMES,CLUPEIDAE,Alosa sapidissima,American shad,alose savoureuse,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CATOSTOMIDAE,Carpiodes cyprinus,quillback,couette,,,,,,,,,,,,,,,,,,,,,,
CYPRINIFORMES,CATOSTOMIDAE,Catostomus catostomus,longnose sucker,meunier rouge,,,,,,,,,,,,,,,,,,,,,,
